variant,run_id,final_best_value,time_to_best,tree_size_at_best,final_tree_size,families_evaluated_at_best,n_improvements,duration,tree_depth,progress_path,tree_png,exported_tree_nodes,exported_tree_edges,exported_tree_depth
modified_bounds_gap,consensus-4-2-20251107-135114,,,,,,0,,4,results/logs/modified_bounds_gap/consensus-4-2/consensus-4-2-20251107-135114/progress.csv,results/logs/modified_bounds_gap/consensus-4-2/consensus-4-2-20251107-135114/tree.png,19,18,4
modified_value_only,consensus-4-2-20251107-135114,0.0383272121206132,101.009384,31.0,31.0,1.0,1,1776.725401,4,results/logs/modified_value_only/consensus-4-2/consensus-4-2-20251107-135114/progress.csv,results/logs/modified_value_only/consensus-4-2/consensus-4-2-20251107-135114/tree.png,19,18,4
modified_value_size_alpha0.01,consensus-4-2-20251107-135113,0.0391081138272113,1176.141578,31.0,31.0,39.0,2,1811.347756,4,results/logs/modified_value_size_alpha0.01/consensus-4-2/consensus-4-2-20251107-135113/progress.csv,results/logs/modified_value_size_alpha0.01/consensus-4-2/consensus-4-2-20251107-135113/tree.png,11,10,3
modified_value_size_alpha0.1,consensus-4-2-20251107-135113,0.0391081138272113,1445.176041,31.0,31.0,39.0,2,1780.675726,4,results/logs/modified_value_size_alpha0.1/consensus-4-2/consensus-4-2-20251107-135113/progress.csv,results/logs/modified_value_size_alpha0.1/consensus-4-2/consensus-4-2-20251107-135113/tree.png,11,10,3
modified_value_size_alpha0.25,consensus-4-2-20251107-135115,0.0391081138272113,1195.856525,31.0,31.0,39.0,2,1818.257682,4,results/logs/modified_value_size_alpha0.25/consensus-4-2/consensus-4-2-20251107-135115/progress.csv,results/logs/modified_value_size_alpha0.25/consensus-4-2/consensus-4-2-20251107-135115/tree.png,11,10,3
modified_value_size_alpha0.5,consensus-4-2-20251107-135112,0.0391081138272113,1107.520583,31.0,31.0,39.0,2,1804.62749,4,results/logs/modified_value_size_alpha0.5/consensus-4-2/consensus-4-2-20251107-135112/progress.csv,results/logs/modified_value_size_alpha0.5/consensus-4-2/consensus-4-2-20251107-135112/tree.png,11,10,3
modified_value_size_alpha0.75,consensus-4-2-20251107-135113,0.0391081138272113,1011.675433,31.0,31.0,39.0,2,1804.163067,4,results/logs/modified_value_size_alpha0.75/consensus-4-2/consensus-4-2-20251107-135113/progress.csv,results/logs/modified_value_size_alpha0.75/consensus-4-2/consensus-4-2-20251107-135113/tree.png,11,10,3
modified_value_size_alpha0.9,consensus-4-2-20251107-135114,0.0391081138272113,1183.512261,31.0,31.0,39.0,2,1786.602777,4,results/logs/modified_value_size_alpha0.9/consensus-4-2/consensus-4-2-20251107-135114/progress.csv,results/logs/modified_value_size_alpha0.9/consensus-4-2/consensus-4-2-20251107-135114/tree.png,11,10,3
modified_value_size_alpha0.99,consensus-4-2-20251107-135112,0.0391081138272113,1162.700921,31.0,31.0,39.0,2,1799.404622,4,results/logs/modified_value_size_alpha0.99/consensus-4-2/consensus-4-2-20251107-135112/progress.csv,results/logs/modified_value_size_alpha0.99/consensus-4-2/consensus-4-2-20251107-135112/tree.png,11,10,3
original,consensus-4-2-20251107-140136,0.0383272121206132,73.42828,31.0,31.0,1.0,1,1787.192871,4,results/logs/original/consensus-4-2/consensus-4-2-20251107-140136/progress.csv,results/logs/original/consensus-4-2/consensus-4-2-20251107-140136/tree.png,19,18,4
