model,max_depth,depth,class,base_best,base_time (best),base_time (all),base_tree nodes,base_tree depth,mod_best,mod_time (best),mod_time (all),mod_tree nodes,mod_tree depth
maze-7,1,1,tie,1.9469,4.26,13.63,1.0,1.0,1.9469,7.42,14.66,1.0,1.0
maze-7,2,2,tie,3.2506,16.91,613.5,3.0,2.0,3.2506,96.7,612.72,3.0,2.0
maze-7,3,3,worse,3.8926,787.5,813.52,6.0,3.0,3.8791,733.02,814.26,6.0,3.0
maze-7,4,4,worse,4.0824,380.1,914.76,7.0,4.0,3.7598,548.99,915.14,12.0,4.0
maze-7,5,5,worse,4.1366,527.69,979.14,7.0,5.0,4.0149,954.66,978.97,20.0,5.0
maze-7,6,6,worse,4.139,694.1,1030.5,10.0,6.0,3.8977,804.09,1026.94,28.0,6.0
maze-7,7,5,worse,4.127,353.94,1086.94,9.0,5.0,3.583,316.12,1074.46,16.0,5.0
maze-7,8,5,unknown,4.127,303.65,1136.65,9.0,5.0,,,,,
maze-7,8,N/A,unknown,,,,,,,305.74,,,
maze-steps,1,1,tie,-63.2248,1.11,2.04,1.0,1.0,-63.2248,0.4,2.22,1.0,1.0
maze-steps,2,2,tie,-24.5559,2.48,51.58,3.0,2.0,-24.5559,20.08,54.81,3.0,2.0
maze-steps,3,3,tradeoff,-19.9697,363.24,646.7,7.0,3.0,-20.621,573.52,658.22,6.0,3.0
maze-steps,4,4,worse,-19.6757,363.34,794.83,10.0,4.0,-20.0868,417.42,809.3,10.0,4.0
maze-steps,5,4,unknown,,,,,,-20.1262,521.74,904.42,10.0,4.0
maze-steps,5,5,unknown,-18.2898,683.84,885.2,17.0,5.0,,,,,
maze-steps,6,5,unknown,,,,,,-20.15,707.95,959.51,16.0,5.0
maze-steps,6,6,unknown,-18.4079,906.74,951.13,17.0,6.0,,,,,
maze-steps,7,7,tradeoff,-18.4035,629.0,994.18,22.0,7.0,-20.1946,676.96,1005.53,19.0,7.0
maze-steps,8,8,larger_tree_better_quality,-18.234,693.46,1020.95,37.0,8.0,-17.9663,979.83,1040.52,39.0,8.0
omdt-3d_navigation,1,0,tie,0.0,0.21,0.77,0.0,0.0,0.0,0.27,0.84,0.0,0.0
omdt-3d_navigation,2,2,tie,0.0207,17.92,138.33,3.0,2.0,0.0207,29.62,120.65,3.0,2.0
omdt-3d_navigation,3,3,tie,0.3518,158.22,158.42,7.0,3.0,0.3518,136.75,136.99,7.0,3.0
omdt-3d_navigation,4,3,tie,0.3518,145.9,146.07,7.0,3.0,0.3518,145.03,145.21,7.0,3.0
